ID,date,first_date,last_date,introuble,connection,type,bid_itp,ask_itp,mid_itp,connected,year,prc_log,panic,time,treat_a,treat_c
1,1905-01-27,1905-01-27,1909-12-31,0,0.0,normal,115.0,125.0,120.0,0.0,1905.0,4.787491798400879,0.0,1.0,0.0,0.0
1,1905-02-24,1905-01-27,1909-12-31,0,0.0,normal,120.0,125.0,122.5,0.0,1905.0,4.808111190795898,0.0,2.0,0.0,0.0
1,1905-03-31,1905-01-27,1909-12-31,0,0.0,normal,115.0,125.0,120.0,0.0,1905.0,4.787491798400879,0.0,3.0,0.0,0.0
1,1905-04-28,1905-01-27,1909-12-31,0,0.0,normal,125.0,127.5,126.25,0.0,1905.0,4.838263988494873,0.0,4.0,0.0,0.0
1,1905-05-26,1905-01-27,1909-12-31,0,0.0,normal,120.0,130.0,125.0,0.0,1905.0,4.828313827514648,0.0,5.0,0.0,0.0
1,1905-06-30,1905-01-27,1909-12-31,0,0.0,normal,124.0,126.0,125.0,0.0,1905.0,4.828313827514648,0.0,6.0,0.0,0.0
1,1905-07-28,1905-01-27,1909-12-31,0,0.0,normal,124.0,126.0,125.0,0.0,1905.0,4.828313827514648,0.0,7.0,0.0,0.0
1,1905-08-18,1905-01-27,1909-12-31,0,0.0,normal,126.0,130.0,128.0,0.0,1905.0,4.852030277252197,0.0,8.0,0.0,0.0
1,1905-09-29,1905-01-27,1909-12-31,0,0.0,normal,125.0,130.0,127.5,0.0,1905.0,4.848116397857666,0.0,9.0,0.0,0.0
1,1905-10-27,1905-01-27,1909-12-31,0,0.0,normal,124.0,127.0,125.5,0.0,1905.0,4.832305908203125,0.0,10.0,0.0,0.0
1,1905-11-24,1905-01-27,1909-12-31,0,0.0,normal,124.0,127.0,125.5,0.0,1905.0,4.832305908203125,0.0,11.0,0.0,0.0
1,1905-12-29,1905-01-27,1909-12-31,0,0.0,normal,118.0,122.0,120.0,0.0,1905.0,4.787491798400879,0.0,12.0,0.0,0.0
1,1906-01-05,1905-01-27,1909-12-31,0,0.0,normal,118.0,122.0,120.0,0.0,1906.0,4.787491798400879,0.0,13.0,0.0,0.0
1,1906-01-12,1905-01-27,1909-12-31,0,0.0,normal,120.0,123.0,121.5,0.0,1906.0,4.799914360046387,0.0,14.0,0.0,0.0
1,1906-01-19,1905-01-27,1909-12-31,0,0.0,normal,122.5,125.0,123.75,0.0,1906.0,4.818263530731201,0.0,15.0,0.0,0.0
1,1906-01-26,1905-01-27,1909-12-31,0,0.0,normal,124.0,126.0,125.0,0.0,1906.0,4.828313827514648,0.0,16.0,0.0,0.0
1,1906-02-02,1905-01-27,1909-12-31,0,0.0,normal,124.0,126.0,125.0,0.0,1906.0,4.828313827514648,0.0,17.0,0.0,0.0
1,1906-02-09,1905-01-27,1909-12-31,0,0.0,normal,122.5,126.33333333333326,124.416664,0.0,1906.0,4.823636054992676,0.0,18.0,0.0,0.0
1,1906-02-16,1905-01-27,1909-12-31,0,0.0,normal,122.5,126.66666666666652,124.583336,0.0,1906.0,4.82497501373291,0.0,19.0,0.0,0.0
1,1906-02-21,1905-01-27,1909-12-31,0,0.0,normal,124.0,126.90476190476181,125.45238,0.0,1906.0,4.831926345825195,0.0,20.0,0.0,0.0
