"time","id","X1","X2"
1,101,0.377673555338416,-0.173246959723285
2,101,1.73320085740114,-0.494500925331486
3,101,1.85801589313994,0.498443195562832
4,101,1.39433693398271,1.12727127598286
5,101,2.3636962503167,-0.153521461990701
6,101,0.537086675860247,0.877439747321153
7,101,1.21914233443941,-1.62384098022075
8,101,0.783973768905049,0.373176546761041
9,101,0.192084773698004,2.03009414460051
10,101,1.52330280070406,-0.551493135306508
11,101,2.0479693398153,-0.526063011080891
12,101,1.42827949723826,0.330167622546323
13,101,0.13817452745181,1.1822487158572
14,101,0.186058377124058,1.89195517679945
15,101,1.64307279278361,2.91913767458143
16,101,1.3054922656181,1.7535590972751
17,101,1.28500408285032,1.12688363008286
18,101,0.150980137355123,2.51760623808537
19,101,2.28572117401401,0.723761933679897
20,101,0.624040272690032,1.21944601214155
21,101,1.41742709453833,1.04534572328414
22,101,-0.624524954954127,-1.22743803422654
23,101,-1.41672605535648,-0.789587694198697
24,101,-0.669758940547724,2.47998794417021
25,101,0.929251212658306,0.217960270937763
26,101,1.89493994730031,0.554136340881436
27,101,-0.897927910857833,-0.139581593752454
28,101,-0.443915183313838,0.951581882271683
29,101,2.6474277830276,1.4740223088878
30,101,0.128667609358388,0.333955721308244
1,102,2.33217306503447,1.84117762665124
2,102,1.17903134664589,2.65735958295194
3,102,1.01651677142654,1.30433157956425
4,102,3.45275274119084,2.8041650624086
5,102,1.20017547043486,1.12860354618935
6,102,3.17983790006374,2.5300717650578
7,102,-0.0764800009885602,0.495204567794709
8,102,-0.645245963162132,1.50468914248824
9,102,3.38864559405686,2.91391553899983
10,102,4.14323051962886,-0.13371759299514
11,102,1.35402281059225,2.85639868812216
12,102,1.09966356493005,0.779743864079107
13,102,2.6746724343264,3.28654593776371
14,102,1.11657153815736,-0.116181915582152
15,102,2.32348797436687,1.52872371602049
16,102,0.508976494270584,1.96761738163472
17,102,5.70000459252214,3.37040890566095
18,102,1.23128518420412,2.8828649793251
19,102,3.1935646935207,4.4370620855215
20,102,3.42431899188357,4.21055183511856
21,102,0.251693150110672,0.851827616950283
22,102,-1.23620783378421,0.933474183384249
23,102,1.5342614943321,3.10885605605306
24,102,2.21908828710936,1.24676209045421
25,102,0.409361876604603,1.56487879746036
26,102,2.90669394549219,2.80858262229778
27,102,1.05407451725194,1.56993237564854
28,102,-0.99455805831979,-0.893867523391191
29,102,0.421973504082525,1.68083081423372
30,102,2.10366289930667,1.88957921695017
1,103,-0.449614431429912,1.00429198099673
2,103,0.524631677704197,3.97785183946967
3,103,0.0182763523023144,0.535775447851859
4,103,1.76619926829985,2.48909872030018
5,103,1.28893135599696,2.50615992978732
6,103,4.1599620550944,2.54085227754068
7,103,0.553671059557145,3.23712163081135
8,103,2.70149895576395,1.66046581425253
9,103,2.11720364563433,1.20481723300785
10,103,1.91163045600786,2.65022577987031
11,103,2.74715256604004,1.83083832715585
12,103,2.74067677149454,1.61375391550547
13,103,1.39073945305291,0.99098141593511
14,103,0.159280613812948,1.23741228601121
15,103,2.87992180421451,2.28121142998027
16,103,0.930832262385159,0.908064311274131
17,103,3.60450500930001,3.33231320643443
18,103,3.11867747937201,3.47249150444383
19,103,3.55133764377084,0.0565614944807393
20,103,2.15600864231568,-1.66753182157357
21,103,-0.395089211442671,2.39961420465079
22,103,-0.445404955328241,1.55677436442578
