"time","id","y","x","z","treatment"
-35,1,3.2512767034026,0.521541760369178,0.0288442266846641,0
-34,1,5.45253680320401,0.806064768865391,1.27484426139993,0
-33,1,6.2567876822548,1.16686008798232,2.44783761308416,0
-32,1,6.38252394653679,0.871406096466823,0.104206271895842,0
-31,1,4.87805157421361,0.51903837420119,0.126915763183009,0
-30,1,2.92112907587098,-0.0138172677065405,-0.0223426987801949,0
-29,1,2.91062263403195,-0.396824668363087,1.58425756422363,0
-28,1,2.4876795562141,-0.493917232816321,1.62045165278495,0
-27,1,6.19959363147826,-0.69610585235977,1.46047399763157,0
-26,1,4.2633320883025,-0.322738953311546,-1.35416067158251,0
-25,1,5.30891138460923,0.161064598063567,2.51788901216464,0
-24,1,5.46888551301486,0.865307825005234,-0.590725544178248,0
-23,1,8.13455933201531,1.34212064976047,0.675754101830448,0
-22,1,6.23202002072352,1.92489740706533,0.553070196592002,0
-21,1,6.56582123598595,2.05229002010006,2.46319080727347,0
-20,1,6.29933238280955,2.13536733236759,0.845308678722581,0
-19,1,6.93254723113608,2.16613360862565,-0.726569771081195,0
-18,1,1.2426050883393,1.76280718755597,2.94433644764017,0
-17,1,6.58859235053776,1.06157009192338,0.709290949487439,0
-16,1,4.18071537322988,0.445959242129683,-0.307986313491137,0
-15,1,2.29281808056015,0.287372628610291,0.159156366743239,0
-14,1,2.98234527163799,-0.0524182686629477,1.40029234697065,0
-13,1,2.25275918620884,0.20373091362238,2.25264900790657,0
-12,1,3.37816424754651,0.830249615237635,0.787649883425278,0
-11,1,4.1206211108514,1.1381135985461,1.8456513142477,0
-10,1,5.5842053335578,1.52195022581258,1.49260972760921,0
-9,1,4.67636587192085,1.55316237098891,2.05529489535141,0
-8,1,6.2292476488657,1.87131407836622,2.571185123594,0
-7,1,5.49959302122465,1.72880388875436,1.22734446548926,0
-6,1,6.08594572617535,1.5115740813747,1.83523859033519,0
-5,1,7.19652011758252,1.11052607984616,2.06092610059039,0
-4,1,3.83271404800394,0.656828271348876,0.317015283026954,0
-3,1,7.66736569901612,-0.0726269536797365,2.50191275327642,0
-2,1,-0.00942448297510556,-0.423618640755103,0.417224900089891,0
-1,1,5.52782991052598,-0.0779199615638114,1.72978959408964,0
0,1,3.92342944315677,0.1946418035722,-0.0984433081728474,1
1,1,5.32285968030693,0.817394038854578,1.21252386507734,1
2,1,3.43295564952051,1.06791360359689,0.343944084461648,1
3,1,12.4547684243272,0.982526929511768,2.00903470003883,1
4,1,4.73605568746468,1.69136338609532,0.232993147488275,1
-35,2,4.88815433863882,0.767568161126695,-0.636470779265499,0
-34,2,6.60379617981945,0.557640160930923,-0.718299378263064,0
-33,2,5.13749595309094,1.00852269100201,1.20371620496359,0
-32,2,6.08586664373433,0.565751301909299,1.21413591552173,0
-31,2,2.38838384478328,0.031786893572707,-1.18608679543052,0
-30,2,4.39363077571679,-0.617272357351706,1.19066975899944,0
-29,2,2.69459929390025,-0.914588894799166,-0.716953608758825,0
-28,2,1.13550575022998,-1.65463344810397,0.289339551172774,0
-27,2,4.81357881803666,-1.94553453970729,2.45298221518706,0
-26,2,3.71995972613881,-2.04974260537885,-0.00619544709880415,0
-25,2,1.22991332687645,-1.66048719471875,-0.459847981606627,0
-24,2,1.83193848974822,-1.18914113032801,0.338689453258313,0
-23,2,3.11516781254805,-0.970773107055317,1.64991746840509,0
-22,2,4.5613891690809,-0.621699668304773,2.58157553819618,0
-21,2,2.48399792449175,-0.368146298089345,1.89852013455927,0
-20,2,2.41283170503167,-0.103729585420924,1.36663723907176,0
-19,2,2.12047308524436,-0.163622349529505,1.76384918799714,0
-18,2,1.76198344339107,-0.770695473874988,0.443863491457457,0
-17,2,2.2850296686178,-1.49449706518114,1.89824369454805,0
-16,2,-0.484010665912259,-2.24283202204197,3.18111384126184,0
-15,2,-1.15792795059111,-2.55090155831608,1.63452102087751,0
-14,2,1.45941773450687,-2.29143020718424,-0.0492545265808606,0
-13,2,2.26369176372698,-2.26977429594905,2.56114711934898,0
-12,2,1.68779147822884,-1.73807031145805,3.77783805915036,0
-11,2,1.42935697064074,-1.06761851443233,1.28963812974259,0
-10,2,2.77819656803244,-0.465225729763736,-0.350422191760971,0
-9,2,3.01633720567252,-0.0239445564004702,0.0667719698292972,0
-8,2,1.60002644096542,0.400537776881976,0.68735911169511,0
-7,2,3.44059439178195,0.273020267509827,1.69579029805229,0
-6,2,3.4047139257202,-0.247471001206691,1.07649861659054,0
-5,2,5.93787711863338,-0.649845926103061,3.12748093846355,0
-4,2,4.01481177285267,-1.35663889051489,1.86642336076467,0
-3,2,-0.91335586156972,-1.93770979602692,-0.492447828830488,0
-2,2,3.62167475618137,-2.03572487654745,1.78996342120048,0
-1,2,-1.76159987936486,-2.1426614036293,0.349441504069242,0
0,2,0.894185258264911,-1.85282177290488,0.165784476493274,1
1,2,-1.00165077041838,-1.48579884045964,-0.688293828495815,1
2,2,-0.911942640475804,-1.14765029134116,-0.22135160334522,1
3,2,-0.012251519091301,-0.838685822404208,-0.15647441116564,1
4,2,6.35439376336961,-0.0944472481107421,1.41688429171969,1
-35,3,7.40611458781075,0.957576045933654,5.09841311476588,0
-34,3,10.1799457192238,1.35675168275266,2.65155008218562,0
-33,3,10.5731617856606,1.59126011298742,2.92880538784506,0
-32,3,8.9801273320877,1.55719838323821,1.64131465053115,0
-31,3,9.85021573997266,1.24143403744621,3.25000769385477,0
-30,3,9.6243932972586,1.01088465773011,2.99378781078851,0
-29,3,6.98170203055501,0.716722164204611,0.427514747524326,0
-28,3,6.81959285652687,0.37427946552202,2.37159247766628,0
-27,3,2.62168198543497,0.329538886434758,0.338032386430693,0
-26,3,3.35316375409022,0.0508824419875585,-0.661198604081064,0
-25,3,8.0539380544783,0.520844471573374,2.36499514043777,0
-24,3,6.11858307284644,0.912669987795048,2.7627261662047,0
-23,3,6.14047967866583,1.58991223611544,-0.850921622732824,0
-22,3,2.33910083648958,2.25495135564854,0.255734234654501,0
-21,3,5.3368981443922,2.76645567448012,0.985768195452017,0
-20,3,7.38714244385835,2.86703603878837,-0.672388093147772,0
-19,3,5.11654950333002,2.53093290173064,1.13864364679431,0
-18,3,4.14906119652916,1.77400619214329,0.332174335459361,0
-17,3,2.85415410811216,1.34333916378926,-0.745367961908269,0
-16,3,1.22715483380201,0.716470839317812,-2.78433882848249,0
-15,3,0.0540822173397129,0.597109415879524,-0.288712606365014,0
-14,3,2.09783478053519,0.460889797386153,-1.83278982235079,0
-13,3,2.32693505894914,0.615517852755318,-1.26256384287787,0
-12,3,1.11400431747813,1.10380531989833,-0.942944225008031,0
-11,3,-0.492418568969253,1.764454269923,-1.48038077289184,0
-10,3,1.57468806732642,2.18276310709876,0.192825873642876,0
-9,3,1.28643352239843,2.3552847158544,-0.421213788284317,0
-8,3,3.00888937778332,2.70407511654005,0.388806975221712,0
-7,3,6.79222805464084,2.62817499007275,0.926468169196032,0
-6,3,3.18743941889839,2.15575760577228,0.223784762515059,0
-5,3,3.60948086087925,1.64900821312915,1.18992870505446,0
-4,3,4.84103667745914,1.39570514159568,1.44252865210231,0
-3,3,5.00636566996562,1.15707620373095,1.73889220676097,0
-2,3,9.13811552433818,1.26469830182634,2.425611581361,0
-1,3,12.6803740769298,1.64063182984496,3.12769578552721,0
0,3,19.4453665870337,1.91313244307677,3.88868682213394,1
1,3,19.2755495423699,1.95228847687591,3.75069448954423,1
2,3,30.6466475696617,2.79581195538236,5.90572450382385,1
3,3,22.9230793212538,3.25574364086058,4.12604025959651,1
4,3,14.3476242237124,3.3599638365058,2.70389771590316,1
-35,4,7.41885046739066,0.492884737353093,2.3629089860361,0
-34,4,6.59962933571001,0.330001059113952,3.39668461892257,0
-33,4,7.63721503271114,0.760712852979894,1.07916781834891,0
