"time","id","D","Y"
1,101,0,6.21099767980831
2,101,0,4.02710593923541
3,101,0,8.87718736045222
4,101,0,11.5153459680888
5,101,0,5.9715262013068
6,101,0,8.23790527201963
7,101,0,0.191108174195742
8,101,0,4.82844803288512
9,101,0,12.1172699227504
10,101,0,1.44464811551031
11,101,0,2.89126992532256
12,101,0,5.47306264738415
13,101,0,9.4269380468938
14,101,0,13.9347151385141
15,101,0,12.4426793481339
16,101,0,11.7455055216438
17,101,0,9.69219727084899
18,101,0,11.2741339176131
19,101,0,7.69043248425671
20,101,0,9.6816311356115
21,101,1,10.1271447761146
22,101,1,5.30845143849659
23,101,1,5.07209968887021
24,101,1,16.7878443689413
25,101,1,11.8293793542806
26,101,1,14.5998296070818
27,101,1,11.4190110709507
28,101,1,15.9758927800018
29,101,1,24.7487577604407
30,101,1,13.9273268077776
1,102,0,18.7057281855172
2,102,0,15.7228124875134
3,102,0,11.4532193431761
4,102,0,23.0857803599648
5,102,0,8.75623601855102
6,102,0,23.6893849436411
7,102,0,7.67000617938391
8,102,0,10.5249316076055
9,102,0,18.4980046009028
10,102,0,9.94750677443061
11,102,0,17.3377700195413
12,102,0,7.89910928130839
13,102,0,19.4717089627472
14,102,0,9.77691308516332
15,102,0,11.7160097476292
16,102,0,14.8266921469162
17,102,0,25.9497297130369
18,102,0,19.5793085672125
19,102,0,23.7143907858551
20,102,0,25.1963359965386
21,102,1,11.2038001386255
22,102,1,7.94715521298191
23,102,1,20.5318676065228
24,102,1,14.1866881896783
25,102,1,13.4711260662225
26,102,1,27.0775450459266
27,102,1,18.3407816169351
28,102,1,8.11203586379278
29,102,1,26.7434638836584
30,102,1,23.9975806330641
1,103,0,10.3439424331061
2,103,0,17.4320661633355
3,103,0,7.47552846782087
4,103,0,20.141601426709
5,103,0,12.3656243420187
6,103,0,22.0695050015867
7,103,0,17.7075512550439
8,103,0,13.7821243997414
9,103,0,9.44590152524284
10,103,0,16.2374187389133
11,103,0,14.7361622424325
12,103,0,13.1794376128243
13,103,0,12.2414028978745
14,103,0,11.3101864918716
15,103,0,16.0860336296824
16,103,0,9.21528366077342
17,103,0,24.3019176475532
18,103,0,24.5172778963443
19,103,0,8.00013913028581
20,103,0,2.33884209297964
21,103,1,15.4709964321093
22,103,1,11.9702498689981
23,103,1,15.7642509728431
24,103,1,7.03304632723139
25,103,1,12.2456475604779
26,103,1,20.8717419748721
27,103,1,13.613136109607
28,103,1,9.59043040627264
29,103,1,25.4806996657872
30,103,1,30.966242019644
1,104,0,21.9272852341215
2,104,0,14.2314959976229
3,104,0,16.989741281579
4,104,0,21.047516675421
5,104,0,7.53326321022476
6,104,0,18.5057556773241
7,104,0,-1.30775278062123
8,104,0,14.7212476583957
9,104,0,12.9175049968888
10,104,0,13.3024656420908
11,104,0,12.6800190880428
12,104,0,12.2599833703762
13,104,0,6.13487222984633
14,104,0,6.62902092753473
15,104,0,-2.40113979988299
16,104,0,11.5617473951047
17,104,0,13.8493194147955
18,104,0,12.5936089466479
19,104,0,14.6802392723698
20,104,0,23.4499852796755
21,104,1,8.34597231116556
22,104,1,1.15116328841886
23,104,1,21.1702032332981
24,104,1,9.20170188345251
25,104,1,9.31439094999119
26,104,1,20.3932661687066
27,104,1,13.1260823048931
28,104,1,8.24472876004527
29,104,1,21.0418248870914
30,104,1,14.9990643773239
1,105,0,21.5671495594919
2,105,0,17.0009505922888
3,105,0,20.6701435617025
4,105,0,27.064847266759
5,105,0,7.01473935057266
6,105,0,23.4655767381695
7,105,0,-0.0977417586585694
8,105,0,17.0058233669898
9,105,0,11.7194495998821
10,105,0,19.7487338508455
11,105,0,20.216779721478
12,105,0,9.42163663952402
13,105,0,4.06722466688596
14,105,0,4.68782080642521
15,105,0,6.39928326508651
16,105,0,9.2333982077069
17,105,0,28.7312421136246
18,105,0,19.3064530058352
19,105,0,15.9629914370985
20,105,0,18.4723091235135
21,105,1,4.34976313897357
22,105,1,-1.30910993094406
23,105,1,22.1163694506205
24,105,1,10.844373682257
25,105,1,11.1621360485666
26,105,1,26.3599438911783
27,105,1,11.5568213530508
28,105,1,0.428577538862617
29,105,1,24.456201268865
